Código;Descrição;Unidade de Medida;Familia;Foto ou Imagem
100027;GERADOR PORTÁTIL, 3,6KVA, 380/220/127V;EA;GERADORES;100027.jpg
100053;GERADOR 20KVA, 380/220/127V, GSCP006;EA;GERADORES;100053.jpg
100056;GERADOR PORTATIL, 1,5KVA, 380/220/127V,;EA;GERADORES;100056.jpg
110357;REG TENSÃO,1F,D,7,62,219A,167kVA,ET39;EA;REGULADORES;110357.jpg
110569;TD,1F,7,967/0,24-0,12KV,25KVA,GST001;EA;TRANSFORMADORES NOVOS;110569.jpg
110673;TRAFO DIST PEDESTAL,150KVA - À RECUPERAR;PEÇ;TRANSFORMADORES  À RECUPERAR;110673.jpg
111246;TRAFO,DIST,MONO/BI/TRIF,3KVA,SUCATA;UN;TRANSFORMADORES SUCATA;111246.jpg
111248;TRAFO,DIST,MONO/BI/TRIF,10KVA,INSERVÍVEL;PZ;TRANSFORMADORES SUCATA;111248.jpg
111249;TRAFO,DIST,MONO/BI/TRIF,15KVA,INSERVÍVEL;PC;TRANSFORMADORES SUCATA;111249.jpg
111253;TRAFO,DIST,MONO/BI/TRIF,37,5KVA,INSERV.;PC;TRANSFORMADORES SUCATA;111253.jpg
111257;TRAFO,DIST,MONO/BI/TRIF,150KV,INSERVÍVEL;PZ;TRANSFORMADORES SUCATA;111257.jpg
111268;TP,11,5KV/R3-2X115V,0,3P50,INT,PBR114010;UN;TRANSFORMADORES DE POTÊNCIA;111268.jpg
111269;TP,13,8KV/R3-2X115V,0,3P50,INT,PBR114010;UN;TRANSFORMADORES DE POTÊNCIA;111269.jpg
111271;TRAFO TRIFÁSICO 45KVA - SUC;PZ;TRANSFORMADORES SUCATA;111271.jpg
111272;TRAFO DIST BIFÁSICO,10KVA - SUCATA;PZ;TRANSFORMADORES SUCATA;111272.jpg
111273;TRAFO DIST BIFÁSICO,15KVA - SUCATA;PZ;TRANSFORMADORES SUCATA;111273.jpg
111274;TRAFO TRIFÁSICO 30KVA - SUC;PZ;TRANSFORMADORES SUCATA;111274.jpg
111306;TRAFO TRIFÁSICO 30KVA, DED-1844 I2 R4;PC;TRANSFORMADORES NOVOS;111306.jpg
111307;TRAFO TRIFÁSICO 45KVA, DED-1844 I3 R4;PC;TRANSFORMADORES NOVOS;111307.jpg
111308;TRAFO TRIFÁSICO 75KVA, DED-1844 I4 R4;PC;TRANSFORMADORES NOVOS;111308.jpg
111311;TRAFO DIST BIFÁSICO,10KVA,DED-1847 I4 R4;PC;TRANSFORMADORES NOVOS;111311.jpg
111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;PC;TRANSFORMADORES NOVOS;111312.jpg
111316;TRAFO TRIF POTÊNCIA 500KVA,DED 1853 I1R3;PC;TRANSFORMADORES NOVOS;111316.jpg
111317;TRAFO TRIF POTÊNCIA 750KVA,DED 1853 I2R3;PC;TRANSFORMADORES NOVOS;111317.jpg
111319;TRAFO TRI 150KVA MINERAL, DED1832 I1R7;PC;TRANSFORMADORES NOVOS;111319.jpg
111321;TRAFO TRI 300KVA MINERAL, DED1832 I3 R7;PC;TRANSFORMADORES NOVOS;111321.jpg
111322;TRAFO DIST MONO,10KVA, DED-1847 I1 R4;PC;TRANSFORMADORES NOVOS;111322.jpg
111323;TRAFO DIST MONO,15KVA, DED-1847 I2 R4;PC;TRANSFORMADORES NOVOS;111323.jpg
111327;TRAFO DIST MONO RURAL,5KVA,DED-1937 I1R1;PC;TRANSFORMADORES NOVOS;111327.jpg
111350;TRAFO TRIFÁSICO 15KVA - RECUPERADO;PC;TRANSFORMADORES RECUPERADOS;111350.jpg
111351;TRAFO TRIFÁSICO 30KVA - RECUPERADO;PC;TRANSFORMADORES RECUPERADOS;111351.jpg
111352;TRAFO TRIFÁSICO 45KVA - RECUPERADO;PC;TRANSFORMADORES RECUPERADOS;111352.jpg
111353;TRAFO TRIFÁSICO 75KVA - RECUPERADO;PC;TRANSFORMADORES RECUPERADOS;111353.jpg
111354;TRAFO TRIFÁSICO 112-5KVA - RECUPERADO;PC;TRANSFORMADORES RECUPERADOS;111354.jpg
111355;TRAFO DIST BIFÁSICO-10KVA - RECUPERADO;PC;TRANSFORMADORES RECUPERADOS;111355.jpg
111356;TRAFO DIST BIFÁSICO-15KVA - RECUPERADO;PC;TRANSFORMADORES RECUPERADOS;111356.jpg
111357;TRAFO DIST BIFÁSICO-25KVA - RECUPERADO;PC;TRANSFORMADORES RECUPERADOS;111357.jpg
111358;TRAFO TRI 150KVA MINERAL - RECUPERADO;PC;TRANSFORMADORES RECUPERADOS;111358.jpg
111359;TRAFO TRI 225KVA MINERAL - RECUPERADO;PC;TRANSFORMADORES RECUPERADOS;111359.jpg
111360;TRAFO TRI 300KVA MINERAL - RECUPERADO;PC;TRANSFORMADORES RECUPERADOS;111360.jpg
111361;TRAFO DIST MONO-10KVA - RECUPERADO;PC;TRANSFORMADORES RECUPERADOS;111361.jpg
111362;TRAFO DIST MONO-15KVA - RECUPERADO;PC;TRANSFORMADORES RECUPERADOS;111362.jpg
111363;TRAFO DIST MONO-25KVA - RECUPERADO;PC;TRANSFORMADORES RECUPERADOS;111363.jpg
111365;TRAFO DIST MONO RURAL-5KVA - RECUPERADO;PC;TRANSFORMADORES RECUPERADOS;111365.jpg
111366;TRAFO DIST BIF RURAL-5KVA - RECUPERADO;PC;TRANSFORMADORES RECUPERADOS;111366.jpg
111367;TRAFO TRIF POTÊNCIA 500KVA-RECUPERADO;PC;TRANSFORMADORES RECUPERADOS;111367.jpg
111368;TRAFO TRIFÁSICO 15KVA-À RECUPERAR;PC;TRANSFORMADORES  À RECUPERAR;111368.jpg
111369;TRAFO TRIFÁSICO 30KVA-À RECUPERAR;PC;TRANSFORMADORES  À RECUPERAR;111369.jpg
111370;TRAFO TRIFÁSICO 45KVA-À RECUPERAR;PC;TRANSFORMADORES  À RECUPERAR;111370.jpg
111371;TRAFO TRIFÁSICO 75KVA-À RECUPERAR;PC;TRANSFORMADORES  À RECUPERAR;111371.jpg
111372;TRAFO TRIFÁSICO 112,5KVA-À RECUPERAR;PC;TRANSFORMADORES  À RECUPERAR;111372.jpg
111373;TRAFO DIST BIFÁSICO,10KVA-À RECUPERAR;PC;TRANSFORMADORES  À RECUPERAR;111373.jpg
111374;TRAFO DIST BIFÁSICO,15KVA-À RECUPERAR;PC;TRANSFORMADORES  À RECUPERAR;111374.jpg
111375;TRAFO DIST BIFÁSICO,25KVA-À RECUPERAR;PC;TRANSFORMADORES  À RECUPERAR;111375.jpg
111377;TRAFO TRI 75KVA AMB AGRES-À RECUPERAR;PC;TRANSFORMADORES  À RECUPERAR;111377.jpg
111378;TRAFO TRI 150KVA MINERAL-À RECUPERAR;PC;TRANSFORMADORES  À RECUPERAR;111378.jpg
111379;TRAFO TRI 225KVA MINERAL-À RECUPERAR;PC;TRANSFORMADORES  À RECUPERAR;111379.jpg
111380;TRAFO TRI 300KVA MINERAL-À RECUPERAR;PC;TRANSFORMADORES  À RECUPERAR;111380.jpg
111381;TRAFO DIST MONO,10KVA-À RECUPERAR;PC;TRANSFORMADORES  À RECUPERAR;111381.jpg
111382;TRAFO DIST MONO,15KVA-À RECUPERAR;PC;TRANSFORMADORES  À RECUPERAR;111382.jpg
111383;TRAFO DIST MONO,25KVA-À RECUPERAR;PC;TRANSFORMADORES  À RECUPERAR;111383.jpg
111384;TRAFO TRI 112,5KVA AMB AGRES-À RECUPERAR;PC;TRANSFORMADORES  À RECUPERAR;111384.jpg
111385;TRAFO DIST MONO RURAL,5KVA-À RECUPERAR;PC;TRANSFORMADORES  À RECUPERAR;111385.jpg
111386;TRAFO DIST BIF RURAL,5KVA-À RECUPERAR;PC;TRANSFORMADORES  À RECUPERAR;111386.jpg
111387;TRAFO TRIF POTÊNCIA 500KVA-À RECUPERAR;PC;TRANSFORMADORES  À RECUPERAR;111387.jpg
111409;TRAFO TRI 300KVA MINERAL CENTRO SAT- REC;PC;TRANSFORMADORES RECUPERADOS;111409.jpg
111410;TRAFORMADOR TRIFÁSICO 45KVA CENTRO SAT RECUPERADO;PC;TRANSFORMADORES RECUPERADOS;111410.jpg
111610;TRAFO,3F,15KVA,14145/330-572V,GST001;PC;TRANSFORMADORES NOVOS;111610.jpg
111611;TRAFO,3F,30KVA,14145/330-572V,GST001;PC;TRANSFORMADORES NOVOS;111611.jpg
111612;TRAFO,3F,45KVA,14145/330-572V,GST001;PC;TRANSFORMADORES NOVOS;111612.jpg
111682;TRAFO,3F,30KVA,14145/330-572V-RECUPERADO;PC;TRANSFORMADORES RECUPERADOS;111682.jpg
111688;TRAFO,3F,DIST,15kVA,REC,10,8KV,GST001;PC;TRANSFORMADORES RECUPERADOS;111688.jpg
111689;TRAFO,3F,DIST,30kVA,REC,10,8KV,GST001;PC;TRANSFORMADORES RECUPERADOS;111689.jpg
111690;TRAFO,3F,DIST,45kVA,REC,10.8KV,GST001;PC;TRANSFORMADORES RECUPERADOS;111690.jpg
111691;TRAFO,3F,DIST,75kVA,REC,10.8KV,GST001;PC;TRANSFORMADORES RECUPERADOS;111691.jpg
111692;TRAFO,3F,DIST,112,5kVA,REC,10.8KV,GST001;PC;TRANSFORMADORES RECUPERADOS;111692.jpg
111693;TRAFO,2F,DIST,10kVA,REC,10.8KV,GST001;PC;TRANSFORMADORES RECUPERADOS;111693.jpg
111694;TRAFO,2F,DIST,15kVA,REC,10.8KV,GST001;PC;TRANSFORMADORES RECUPERADOS;111694.jpg
111695;TRAFO,2F,DIST,25kVA,REC,10.8KV,GST001;PC;TRANSFORMADORES RECUPERADOS;111695.jpg
111696;TRAFO,3F,DIST,150kVA,REC,10.8KV,GST001;PC;TRANSFORMADORES;111696.jpg
111699;TRAFO,1F,DIST,10kVA,REC,10.8KV,GST001;PC;TRANSFORMADORES RECUPERADOS;111699.jpg
111700;TRAFO,1F,DIST,15kVA,REC,10.8KV,GST001;PC;TRANSFORMADORES RECUPERADOS;111700.jpg
111703;TC,INT,0.6KV, 200/5A,0.3FT2,SUCATA;UN;TRANSFORMADORES SUCATA;111703.jpg
111705;TRAFO DIST BIFASICO,10KVA - SUC;PC;TRANSFORMADORES SUCATA;111705.jpg
111707;TRAFO TRIFASICO,30KVA - SUCATA;UN;TRANSFORMADORES SUCATA;111707.jpg
111708;TRAFO DIST BIFÁSICO,25KVA - SUCATA;PZ;TRANSFORMADORES SUCATA;111708.jpg
111709;TRAFO TRIFASICO 75KVA - SUCATA;PZ;TRANSFORMADORES SUCATA;111709.jpg
111710;TRAFO TRIFÁSICO 15KVA - SUCATA;PZ;TRANSFORMADORES SUCATA;111710.jpg
111711;TRAFO DIST BIF RURAL,5KVA - SUCATA;PZ;TRANSFORMADORES SUCATA;111711.jpg
111727;TRAFO TRI 225KVA MINERAL - A RECUPERAR;PZ;TRANSFORMADORES  À RECUPERAR;111727.jpg
111728;TRAFO TRI 300KVA MINERAL - A RECUPERAR;PZ;PADRÃO;111728.jpg
111740;TRAFO,3F, 45KVA,14145/380-220V,SUCATA;UN;TRANSFORMADORES SUCATA;111740.jpg
111754;TRAFO,DIST,MONO/BI/TRIF,3KVA - À REC ;PC;TRANSFORMADORES  À RECUPERAR;111754.jpg
111755;TRAFO DIST MONO 25KVA-FORA PADRAO,SUCATA;PZ;TRANSFORMADORES SUCATA;111755.jpg
