Código	Descrição	Unidade de Medida	Familia	Foto
251873	ARMAÇÃO SEC.SIMPLESLIGA AL.DED-1255 R.2	PC	MATERIAL GERAL	251873.jpeg
251874	ARMAÇÃO SEC. DUPLA LIGA AL.DED-1254 R.2	PC	MATERIAL GERAL	251874.jpeg
251875	CHAPA PARA ESTAI, DED-0081 R.3	PC	MATERIAL GERAL	251875.jpeg
251876	FITA, PROTECAO CB AL 1,0X10MM-DED-0077R3	KG	CABO ESPECIAL	251876.jpeg
251877	GANCHO OLHAL, DED-0039 R.3	PC	FERRAGEM	251877.jpeg
251878	GRAMPO LINHA VIVA, DED- 0106	PC	MATERIAL GERAL	251878.jpeg
251879	GRAMPO, TENSOR P/CB ALUMINIO, DED-0107	PC	MATERIAL GERAL	251879.jpeg
251880	PINO, ISOLADOR LIGA ALUMINIO, DED-88-126	PC	FERRAGEM	251880.jpeg
251881	ALÇA,PREF.AÇOCB PRE-REUN.95MM²-DQN1958	PC	MATERIAL GERAL	251881.jpeg
251882	ALÇA,PREF.AÇOCB PRE-REUN.150MM²-DQN1958	PC	MATERIAL GERAL	251882.jpeg
251883	ALCA,PREF.CUCB PRE-REUN.95MM²- DQN-1959	PC	MATERIAL GERAL ESPECIAL	251883.jpeg
251884	BRAÇO TIPO "L", 354MM RC, DED-1763	PC	FERRAGEM	251884.jpeg
251885	BRAÇO TIPO "C", 580MM RC, DED-1764	PC	FERRAGEM	251885.jpeg
251886	CANTONEIRA P/BRAÇO TIPO "C" DED-1765	PC	FERRAGEM	251886.jpeg
251887	ESPAÇADOR RC 15KV DED-1766 I2	PC	MATERIAL GERAL	251887.jpeg
251888	ALCA PREF OLH DIST,CB 50MM²,PM2191I6	PC	MATERIAL GERAL	251888.jpeg
251889	MÃO FRANC.PLANA C/619MM,DED-0040 R.5	PC	FERRAGEM	251889.jpeg
251890	OLHAL, DED-0043 R.4	PC	FERRAGEM DIVERSOS	251890.jpeg
251891	ALCA PREFORM.CB COB.185MM²DED-1770 I3	PC	MATERIAL GERAL	251891.jpeg
251892	MANILHA SAPATILHA, DED-1699 R.2	PC	FERRAGEM DIVERSOS	251892.jpeg
251893	SAPATILHA, ESTAI, DED-0048 R.4	PC	FERRAGEM	251893.jpeg
251894	LAÇO PLÁST P/CB 1/0AWG RC,DED-1771 I1 R1	PC	MATERIAL GERAL	251894.jpeg
251895	ALÇA, PRE-FORMADA RAMAL SERVICO CAA 35MM	PC	MATERIAL GERAL	251895.jpeg
251896	LACO PREF CUCB PRE-REUN.35MM²-DED-1799	PC	MATERIAL GERAL	251896.jpeg
251897	LACO PREF.CUCB PRE-REUN.70MM²-DED-1799	PC	MATERIAL GERAL	251897.jpeg
251898	MANILHA, REDE COMPACTA, DED-1774 R.1	PC	FERRAGEM	251898.jpeg
251899	ANEL AMARRAÇÃO P/ESPAÇ.POLIM-DED1775I1R2	PC	MATERIAL GERAL	251899.jpeg
251901	PROTETOR ESTRI. GRAMP. LIN.VIVA DED-1902	PC	MATERIAL GERAL	251901.jpeg
251902	SUPORTE AFAST HORIZ (675X300MM)-DED-1785	PC	FERRAGEM	251902.jpeg
251903	SUPORTE AFAST HORIZ(1250X450MM)-DED-1932	PC	FERRAGEM	251903.jpeg
251904	ALCA,PREF.CB 4CAAFPSUBST.P/6783793	PC	MATERIAL GERAL	251904.jpeg
251905	ALCA,PREFORM.CB CU 35MM² DQN-1956 I9 R4	PC	MATERIAL GERAL ESPECIAL	251905.jpeg
251907	ALCA,PREF.CB 2CAFPSUBST.P/6783813	PC	MATERIAL GERAL	251907.jpeg
251908	ALCA,PREF.CB 1/0CA/CAAFPSUBST.6783815	PC	MATERIAL GERAL	251908.jpeg
251909	ALCA,PREFORM.CB CA 4/0AWG,DQN-1956 I4R4	PC	MATERIAL GERAL	251909.jpeg
251912	CHAPA PARA ÂNCORA, DED-1361  R.2	PC	FERRAGEM	251912.jpeg
251913	ALÇA, PREFORMADA P/ ESTAI 7,9MM, DED1904	PC	MATERIAL GERAL	251913.jpeg
251914	ALCA, PRE-FORMADA P/ESTAI 9,5MM, DED1904	PC	MATERIAL GERAL	251914.jpeg
251915	ALCA,PREFORM.CB CU 25MM² DQN-1956 I8 R4	PC	MATERIAL GERAL ESPECIAL	251915.jpeg
251916	ALCA PREFORM.CUCB CONC.BIP.6MM²DQN-1959	PC	MATERIAL GERAL ESPECIAL	251916.jpeg
251917	ALCA PREF.CUCB CONC.TRIP.10MM²-DQN-1959	PC	MATERIAL GERAL ESPECIAL	251917.jpeg
251918	ALCA PREF.CUCB PRE-REUN.25MM²-DQN-1959	PC	MATERIAL GERAL ESPECIAL	251918.jpeg
251919	ALCA,PREF.CB 336,4MCMFPSUBST.P/6783816	PC	MATERIAL GERAL	251919.jpeg
251920	ALÇA,PREFORM.CB CA 477MCM -DQN-1956I6R4	PC	MATERIAL GERAL	251920.jpeg
251921	ALCA,PREFORM.CB CU 16MM²-DQN-1956 I7 R4	PC	MATERIAL GERAL ESPECIAL	251921.jpeg
251922	ADAPT P/ CH. C.CIRC./P.RAIOS DED-0316 R2	PC	FERRAGEM	251922.jpeg
251924	BRAÇO, LUMIN ABERTA 3000MM, DED-0067 R3	PC	FERRAGEM ESPECIAL	251924.jpeg
251925	BRAÇO, LUMIN.  ABERTA 1000MM, DED-0650R3	PC	FERRAGEM ESPECIAL	251925.jpeg
251926	BRAÇO LUMIN.FECHADATB 3500MMDED0068 R5	PC	FERRAGEM ESPECIAL	251926.jpeg
251927	CINTA,AÇO INOX,19mm,C/FECHO,P/ABRAÇ,D655	PC	FERRAGEM	251927.jpeg
251928	TRAVA P/ ABRAÇADEIRA AÇO INOX DQN-1965	PC	MATERIAL GERAL	251928.jpeg
251930	GRAMPO, CERCA AÇO ZINCADO 30MM, DED-1852	KG	MATERIAL GERAL	251930.jpeg
251931	PRENSA-CABO ROSQ,D=6-12MM,DDT-1749I1R4	PC	MATERIAL GERAL	251931.jpeg
251934	PRENSA-CABO ROSQ,D=13-18MM,DDT-1749I2R4	PC	MATERIAL GERAL	251934.jpeg
251935	LAÇO MENS AÇO GALV 9,5MM RCDED-1772I2R1	PC	MATERIAL GERAL	251935.jpeg
251936	BRAÇO ANTI-BALANÇO POLIET.15KV-DED-1778	PC	MATERIAL GERAL	251936.jpeg
251937	LAÇO PLÁS P/CB 336,4MCM RC-DED1771-I2 R1	PC	MATERIAL GERAL	251937.jpeg
251939	ALCA,PREF,AÇO,PRE-REUN,CA,25MM2,D7300	PC	MATERIAL GERAL	251939.jpeg
251940	LACO,PREF,ROLD,PRE-REUN,CA 25,D73012.5.	UN	PADRÃO	251940.jpeg
251941	PRENSA-CABO ROSQ,CB 15-22MM,DDT-1749I4R4	PC	MATERIAL GERAL	251941.jpeg
251942	FIXADOR PARA FIOS E CABOS DQN-1994 R.2	PC	MATERIAL GERAL	251942.jpeg
251947	ALCA,PREF.AÇOCB CONC.BIP.4MM²-DQN1958I1	PC	MATERIAL GERAL	251947.jpeg
251948	ALÇA,PREF,AZ,BI,CONCENT,6MM2,PM-R2276FP	PC	MATERIAL GERAL	251948.jpeg
251950	GRAMPO-SUSP-CABO ACO 5/16 POL	PC	FERRAGEM	251950.jpeg
251952	SUPORTE FIXAÇÃOCX DERIVAÇÃODQN-2122 R3	PC	MATERIAL GERAL	251952.jpeg
251953	MÃO FRANC PERFIL. 1971MM,DED-0042 I3 R8	PC	FERRAGEM	251953.jpeg
251954	MÃO FRANC PERFIL. 2548MM,DED-0042 I.4 R8	PC	FERRAGEM	251954.jpeg
251955	DEGRAU P/CBCX.SUBTERRAN.-DQN-2135	PZ	FERRAGEM	251955.jpeg
251956	MAO FRANC.PERFIL LG AL,1971MM,PM-1259I2	PC	FERRAGEM	251956.jpeg
251957	MAO FRANC.PERFIL LG AL,2548MM,PM1259 I3	PC	FERRAGEM	251957.jpeg
251958	SUPORTE PROLONGADOR P/CONCENTRAD.MEDIÇÃO	PC	FERRAGEM	251958.jpeg
251961	GRAMPO,L.VIVA,DERIV,USO PERMAN,D71070.1	UN	MATERIAL GERAL	251961.jpeg
251965	ESPAÇADOR,BT-MT,2-336,TIPO1,PM-BR530.03	PC	MATERIAL GERAL	251965.jpeg
251968	SUPORTE P/ SECCIONADORA UNIPOLAR	PC	FERRAGEM	251968.jpeg
251969	SUPORTE P/ SECCIONADORA UNIPOLAR PM-2189 I1	PC	FERRAGEM	251969.jpeg
251970	ALÇA PREF OLH DISTCB AL CAA 4AWGPM2191	PC	MATERIAL GERAL	251970.jpeg
251971	ALÇA PREF OLH DISTCB AL CA 2AWGPM2191	PC	MATERIAL GERAL	251971.jpeg
251972	ALÇA PREF OLH DIST CB AL 1/0AWGPM2191	PC	MATERIAL GERAL	251972.jpeg
251973	ALÇA PREF. OLH DIST CB AL 336, 4MCM 	PC	MATERIAL GERAL	251973.jpeg
251974	PRENSA CABO USO GERAL PM - 2193 - I1 	PC	MATERIAL GERAL	251974.jpeg
251975	ESPAÇADOR RC 15KVDED-1766 I1 R1        	PC	MATERIAL GERAL	251975.jpeg
251976	ALCA PREFORM.CB COB.35MM²DED-1770 I1   	PC	MATERIAL GERAL	251976.jpeg
251983	ALÇA PREF LIGA AL-50mm²-PM-2191I9	PC	MATERIAL GERAL	251983.jpeg
251984	ALÇA OLHAL DE DISTRIBUIÇÃO	PC	MATERIAL GERAL	251984.jpeg
251985	EMENDA RETA,12/20 kV,35-120mm²-GSCC004	UN	CONECTORES	251985.jpeg
251988	CANT. AUXILIAR P/ BRAÇO SUP. C	PC	FERRAGEM	251988.jpeg
251989	CINTA POSTE CIRC.AL 180MM+CARAC DED-1257	PC	FERRAGEM	251989.jpeg
251990	CINTA POSTE CIRC.AL 200MM+CARAC DED-1257	PC	FERRAGEM	251990.jpeg
251991	CINTA POSTE CIRC.AL 220MM+CARAC DED-1257	PC	FERRAGEM	251991.jpeg
251994	ALCA PRE AAAC 25MM² PM2276 TIPO VI I1 R0	PC	MATERIAL GERAL	251994.jpeg
252009	ALCA PREF,LIGA AL,PRE-REU,54.6MM2,D73006	PC	MATERIAL GERAL	252009.jpeg
252010	ALCA PREF AL-CB PRE-REUN 70MM²-PM2209I5	PC	MATERIAL GERAL	252010.jpeg
252019	ALCA PREF AL-CB CONC 6MM- PM 2209 I1	PC	MATERIAL GERAL	252019.jpeg
252020	ALCA PREF AL-CB CONC 10MM- PM2209 I2	PC	MATERIAL GERAL	252020.jpeg
252021	ALCA PREF AL-CB CONC 16MM- PM2209 I3	PC	MATERIAL GERAL	252021.jpeg
252022	ALÇA,PREF,AZ,BI,CONCEN,10MM2,PM-R2276F	PC	MATERIAL GERAL	252022.jpeg
252023	ALÇA,PREF,AZ,BI,CONCENT,16MM2,D730.05.0	PC	MATERIAL GERAL	252023.jpeg
252024	ALCA PREF AL-CB AAAC- 25MM-PM2209I6	PC	MATERIAL GERAL	252024.jpeg
252025	ALCA PREF AL-CB AAAC- 50MM-PM2209I7	PC	MATERIAL GERAL	252025.jpeg
252026	ALCA PREF AL-CB AAAC- 70MM-PM2209I8	PC	MATERIAL GERAL	252026.jpeg
252028	SEPARADOR TRAVA,BT/MT,CB CA,CU-PM2182I-397,5CA MCM	PC	MATERIAL GERAL	252028.jpeg
252029	ALCA,PREF A€O,CB PRE-REUN 25MM,PM-1958I9	PC	MATERIAL GERAL	252029.jpeg
252030	ALCA PREF, LIGA AL,PRE-REUN,25MM2,D73006	PC	MATERIAL GERAL	252030.jpeg
252033	CINTA,TUBULAR,ELEV POSTE-3T-1,1m	PC	FERRAMENTAS	252033.jpeg
252036	DISTANCIADOR,ISOL PILAR,PM-BR510.70	UN	FERRAMENTAS	252036.jpeg
252047	LAÇO PREF.AÇOCB PR. 25MM²-PM1957 I1R2	PC	MATERIAL GERAL	252047.jpeg
252048	LAÇO PREF.L.ALCB PR. 25MM²-PM1957 I4R2	PC	MATERIAL GERAL	252048.jpeg
252049	LAÇO PRE LIGA CAL 50 PM2276 TIPO IX I8R1	PC	MATERIAL GERAL	252049.jpeg
252050	LAÇO PRE LIGA CAL 70 PM2276 TIPO IX I9R1	PC	MATERIAL GERAL	252050.jpeg
252051	ESPAÇADOR VERTICAL,RC,15KV,PM1766I2	PC	MATERIAL GERAL	252051.jpeg
252053	ESPAÇ,LOSANG,SPACER,35KV,D53001.0	PZ	MATERIAL GERAL	252053.jpeg
252083	LAÇO PRE LIG CAL25 PM2276TIPO XII I11R1	PC	MATERIAL GERAL	252083.jpeg
252084	LAÇO PRE LIG CAL50 PM2276TIPO XII I12R1	PC	MATERIAL GERAL	252084.jpeg
252097	LAÇO PRE LIGA CAL25 PM2276 TIP X I11R1	PC	MATERIAL GERAL	252097.jpeg
252098	LAÇO PRE LIGA CAL50 PM2276 TIP X I12R1	PC	MATERIAL GERAL	252098.jpeg
252099	LAÇO PRE LIGA CAL70 PM2276 TIP X I13R1	PC	MATERIAL GERAL	252099.jpeg
252100	LAÇO PRE LIG CAL160 PM2276 TIP X I14R1	PC	MATERIAL GERAL	252100.jpeg
252108	LAÇO PRE LIG CAL25 PM2276 TP XI I11R1	PC	MATERIAL GERAL	252108.jpeg
252109	LAÇO PRE LIG CAL50 PM2276 TP XI I12R1	PC	MATERIAL GERAL	252109.jpeg
252110	LAÇO PRE LIG CAL70 PM2276 TIPO XI I13R1	PC	MATERIAL GERAL	252110.jpeg
252111	LAÇO PRE LIG CAL160 PM2276TIPO XI I14R1	PC	MATERIAL GERAL	252111.jpeg
252112	ALÇA AÇOT ll P REU COB 50MM PM2276I9R1	PC	MATERIAL GERAL ESPECIAL	252112.jpeg
252113	ALÇA AÇOT ll P REU COB 95MM PM2276I10R1	PC	MATERIAL GERAL	252113.jpeg
252114	ALÇA AÇOT ll P REU COB 150MM PM2276I11R1	PC	MATERIAL GERAL	252114.jpeg
252115	LAÇO AÇO T IX P REU COB 50MM PM2276I4R1	PC	MATERIAL GERAL	252115.jpeg
252116	LAÇO AÇO T IX P REU COB 95MM PM2276I5R1	PC	MATERIAL GERAL	252116.jpeg
252117	LAÇO AÇO T IX P REU COB 150MM PM2276I6R1	PC	MATERIAL GERAL	252117.jpeg
252136	ALCA PREF CAA 4AWG PM2276 TIP V I9 R1	PC	MATERIAL GERAL	252136.jpeg
252137	ALCA-OLHAL,PREF,AÇO,CAA,1/0AWG,D730.14.0	PC	MATERIAL GERAL	252137.jpeg
252138	ALCA-OLHAL,PREF,ACO,CAA,336.4,D73014,FPM	PC	MATERIAL GERAL	252138.jpeg
252192	ALÇA,PREF,DIST,ACO,COBERTO,50MM2,D730.14	UN	FERRAGEM	252192.jpeg
252195	CANTONEIRA,U,AZ,410X100X50X8MM,D43534.0	UN	FERRAGEM	252195.jpeg
252254	CINTA,P/POSTE CIRC,340MM,D435.07	UN	FERRAGEM	252254.jpeg
252262	GRAMPO,LINHA VIVA,DERIV,NTC61,FP	UN	CONECTORES	252262.jpeg
252269	MAO,FRANC,PLANA,AZ,726MM,673MM,D430.02	UN	FERRAGEM	252269.jpeg
252347	ALCA,PREF,AÇO,2AWG,CA/CAA,D730.14,FPM	PC	MATERIAL GERAL	252347.jpeg
252364	SUPOR,TRAFO POSTE CIRC.285MM,D421.01	PC	FERRAGEM	252364.jpeg
252432	ELO-BOLA,12000DAN,PM-BR510.29	UN	FERRAGEM	252432.jpeg
252514	CINTA,P/POSTE CIRC,380MM,D435.07	UN	FERRAGEM	252514.jpeg
252527	CINTA,P/POSTE CIRC,360MM,D435.07	UN	FERRAGEM	252527.jpeg
252528	CINTA,P/POSTE CIRC,400MM,D435.07	UN	FERRAGEM	252528.jpeg
252615	CINTA AJUST.POSTE,BAP2,800MM,D480.21	UN	FERRAGEM	252615.jpeg
252616	CINTA AJUST.POSTE,BAP3,1200MM,D480.21	UN	MATERIAL GERAL	252616.jpeg
252636	ESTICADOR, TIPO AMERICANO, P/TENSIO	UN	FERRAMENTAS	252636.jpeg
252813	SUPORTE L,FIX CONC DAT,D42503	UN	PADRÃO	252813.jpeg
252831	PRENSA-FIOS, AÇO ZINCADO P/2 CB AÇO ZINC	PC	MATERIAL GERAL	252831.jpeg
252834	BARRA INFERIOR FIX MÓDUL PVC484MMX40MM	PC	MATERIAL GERAL	252834.jpeg
252854	PINO DE TOPO, DDT-0317 R.3	PC	FERRAGEM	252854.jpeg
252855	ARAME, ZINCADO DIAM 2MM-FORA PADRÃO	KG	CABO ESPECIAL	252855.jpeg
252856	ARAME ZINCADO DIAM 5,0MM, DED-0194 R.3	KG	CABO ESPECIAL	252856.jpeg
252857	ANEL,AMARRAÇÃO P/ISOLAD.PINO-DED1775I2R2	PC	MATERIAL GERAL	252857.jpeg
252858	SUPORTE,FIXAÇÃO RELE/REATOR,IPDQN-2151	PC	FERRAGEM	252858.jpeg
252860	SUPORTE,CONCENTRAD,CRUZ,MEDIÇDQN-2166	PC	FERRAGEM	252860.jpeg
252867	COLAR,TIPO U,DIÂMETRO 210MM,DS3075/1	PC	MATERIAL GERAL OEC	252867.jpeg
252868	COLAR,TIPO U,DIÂMETRO 280MM,DS3075/2	PC	MATERIAL GERAL OEC	252868.jpeg
252869	SUPORTE FIX P/ TERM SUB	PC	FERRAGEM	252869.jpeg
252871	ESTICADOR, ESTAI,ACO FORJ ZINC QUEN	UN	FERRAMENTAS	252871.jpeg
252876	ESTICADOR, TIPO AMERICANO, TENSIONA	UN	FERRAMENTAS	252876.jpeg
252877	ESTICADOR, TIPO AMERICANO, P/TENSIO	UN	FERRAMENTAS	252877.jpeg
252878	ESTICADOR, TIPO AMERICANO, P/TENSIO	UN	FERRAMENTAS	252878.jpeg
253203	CHUMBADOR, AÇO   5/8" DE COMPRIMENTO	PC	MATERIAL GERAL	253203.jpeg
253236	EMENDA RET,CB POT,MONO,240MM-DQN-2037 I5	PZ	CONECTORES	253236.jpeg
253343	CONEC,TER,TRAV,185MM²-336MCM,PM-BR710.74	PZ	CONECTORES	253343.jpeg
270171	CONEC|TERM|COMPR|AL|50MM2|1F|D71038	EA	CONECTORES	270171.jpeg
270277	PROTETOR,PARA-RAIOS,36KV,PM-Br 780.04	EA	MATERIAL GERAL	270277.jpeg
270380	ESTROPO POLIAMIDA 1200MM 670KGF	EA	FERRAMENTAS	270380.jpeg
270381	ESTROPO POLIAMIDA 500MM 670KGF	UN	FERRAMENTAS	270381.jpeg
270384	EME,FRIO,BT,SUBT,150-240MM2,PM-BR 720.27	EA	MATERIAL GERAL	270384.jpeg
270387	EME,A FRIO,BT,SUBT,25-50MM2,PM-BR 720.27	EA	FERRAMENTAS	270387.jpeg
270388	COBERTURA,ISO,COND,129,2X86X1560MM	UN	FERRAMENTAS	270388.jpeg
270389	COBERT,ISO,RIG,30KV,CL3,150X1200MM	UN	FERRAMENTAS	270389.jpeg
270392	COBERTURA,ISOL,FLEX,36KV,CL3	UN	FERRAMENTAS	270392.jpeg
270401	TAMPA,RET,FERRO,TP4,125KN,PM-BR462.03	EA	FERRAGEM	270401.jpeg
270421	COBERTURA ISOL,34,5KV,550X550MM,D220.11	EA	FERRAMENTAS	270421.jpeg
270440	COBERTURA ISOL CIRC 230X1800MM,NTS02-21	UN	FERRAMENTAS	270440.jpeg
270441	COBERT,ISO,CIR,30KV,CL3,150X600MM,NTS-21	EA	FERRAMENTAS	270441.jpeg
270442	COBERT,ISO,CIR,30KV,CL3,150X300MM,NTS-22	UN	FERRAMENTAS	270442.jpeg
270445	COBERTURA,ISOL,FLEX,17KV CL 2,NTS02-21 -	UN	FERRAMENTAS	270445.jpeg
270448	TACO FIB,350X35X45,3F,25,D230.05/1	EA	MATERIAL GERAL	270448.jpeg
270464	CON,TER,TOR,BI,35MM2,1F,631A,D71063	EA	CONECTORES	270464.jpeg
270468	CON,TER,TOR,BI,35-185MM2,2F,631A,D71063	EA	CONECTORES	270468.jpeg
270469	TACO FIB,350X35X45,6F,30,D230.05	CDA	MATERIAL GERAL	270469.jpeg
270477	PASSA FIO DE AÇO	CDA	FERRAMENTAS	270477.jpeg
270478	COBERTURA ISOLANTE TIPO CALHA 35KV	EA	FERRAMENTAS	270478.jpeg
270479	SUPORTE ISOLANTE PARA BYPASS MT	EA	FERRAMENTAS	270479.jpeg
270480	APLICADOR DE CONECTOR CUNHA	CDA	FERRAMENTAS	270480.jpeg
270481	CHAVE DE IMPACTO COM BATERIA E CARREGADO	EA	FERRAMENTAS	270481.jpeg
270561	C.PERF,AL-CU,D,50-150TR,6-54,6DR,GSCC20	UN	CONECTORES	270561.jpeg
270567	C.PERF,AL-CU,E,35-150TR,35-150DR,GSCC20	EA	CONECTORES	270567.jpeg
270569	C.PERF,AL-CU,E,16-95TR,4-35DR,GSCC20	EA	CONECTORES	270569.jpeg
270570	C.PERF,AL-CU,E,50-150TR,6-54,6DR,GSCC20	EA	CONECTORES	270570.jpeg
274634	COBERTURA,PROTBTCU50MM2-CA1/0D22030.0	M	FERRAMENTAS	274634.jpeg
274639	CONECTOR,PARAL,CU,2X 16-120MM2,2P,D71026	UN	CONECTORES	274639.jpeg
274654	ESTRIBO CONEC DER CUNHACB 50MMDED-1780	PC	MATERIAL GERAL	274654.jpeg
274682	CONEC. COMPR.H AL/AL- AL/CU DED-1451 I.1	PC	CONECTORES	274682.jpeg
274683	CONEC.COMPR.H AL/AL-AL/CU DED-1451 I.5	PC	CONECTORES	274683.jpeg
274684	CONEC.COMPR.H AL/AL-AL/CU DED-1451 I6	PC	CONECTORES	274684.jpeg
274685	CONEC.COMPR.H AL/AL-AL/CU DED 1451 I.7	PC	CONECTORES	274685.jpeg
274686	CONEC.COMPR.H AL/AL, AL/CU DED 1451 I8	PC	CONECTORES	274686.jpeg
274688	LUVA EMENDA COMPRES 336,4 CAA YTS	PC	MATERIAL GERAL	274688.jpeg
274691	LUVA, REPARO A COMPRESSÃO P/CONDUTOR 4/0	PC	MATERIAL GERAL	274691.jpeg
274702	CAPA PROT.CONEC. CUNHA/ESTR DED-1788 I2	PC	MATERIAL GERAL	274702.jpeg
274711	ESTRIBO CONEC DER CUNHACB185MMDED-1780	PC	MATERIAL GERAL	274711.jpeg
274719	CONEC CUNHA DER ESTRIBOCB35MMDED1780R3	PC	CONECTORES	274719.jpeg
274726	CONECTOR TERMINAL TIPO OLHAL 25 MM 	PC	MATERIAL GERAL	274726.jpeg
274730	CONECTOR EMENDA FIBRA ÓTICA:HFBR-4505	PC	CONECTORES	274730.jpeg
274731	CONECTOR DE FIBRA ÓTICA: HFBR 4531	PC	MATERIAL GERAL	274731.jpeg
274743	CONEC TERM COMPR,CB-BAR CHT,CU630,2F	PZ	CONECTORES	274743.jpeg
274790	PROTETOR EMENDA ANTIFURTO(CONECTOR PERF)	PC	MATERIAL GERAL	274790.jpeg
274808	CONECTOR PRR 121 AEP,TERM,PINO,1X35-185,M16,D71060	PC	TELECONTROLE	274808.jpeg
274810	EMENDA,LIGA AL,MT ISOL,35-150MM2,D72004.	UN	MATERIAL GERAL FEFO	274810.jpeg
274880	LUVA,EMENDA COMPRES,CU,70MM2,D72010	UN	MATERIAL GERAL	274880.jpeg
274884	PRENSA-CABO,FURO 21MM,CB 6 A 12MM,ET762	UN	CONECTORES	274884.jpeg
274898	CONECTOR,PERF,AL,16-95TR,4-35DR,D71053	UN	CONECTORES	274898.jpeg
274900	CONECTOR,PERF,AL,25-120TR/DR,D71053	UN	MATERIAL GERAL	274900.jpeg
274902	CONECTOR,CUN,AL,477-556/315TR/DR,ET710	UN	CONECTORES	274902.jpeg
274903	CONECTOR,CUN,BIM,MOD.I,D71039	PC	CONECTORES	274903.jpeg
274904	CONECTOR,CUN,BIM,MOD.II,D71039	UN	CONECTORES	274904.jpeg
274920	CONECTOR,CUN,BIM,MOD.VI,D71039	PC	CONECTORES	274920.jpeg
274921	CONECTOR,CUN,BIM,MOD.VII,D71039	UN	CONECTORES	274921.jpeg
274938	CONECTOR,PARAL,CU,2X 70MM2,2P,D71026	UN	CONECTORES	274938.jpeg
274963	CONEC.COMPR.H AL/AL-AL/CU-DED-1451 I2	PC	CONECTORES	274963.jpeg
274964	CONEC.COMPR.H AL/AL-AL/CU-DED-1451 I3	PC	CONECTORES	274964.jpeg
274965	CONEC., COMPR H AL/AL-AL/CU DED-1451 I.4	PC	CONECTORES	274965.jpeg
274966	CONEC, COMPR H AL/AL-AL/CU DED-1451 I9	PC	CONECTORES	274966.jpeg
274967	CONECTOR PERFURANTE, DED-1851 I1 R3	PC	CONECTORES	274967.jpeg
274968	CONECTOR PERFURANTE, DED-1851 I.2 R.3	PC	CONECTORES	274968.jpeg
274969	CONECTOR PERFURANTE, DED-1851 I4 R3	PC	CONECTORES	274969.jpeg
274970	TERMINAL EXT UNIP 35 MM² -70MM² GSCC005	PC	MATERIAL GERAL	274970.jpeg
274971	TERMINAL,INT,12/20kV,35MM2-70MM2,GSCC	PC	MATERIAL GERAL	274971.jpeg
274972	CONECTOR PARAF. FENDIDO,DED-1845 I.4	PC	CONECTORES	274972.jpeg
274973	LUVA EMEN. TENSÃO COND. CA DED-0109 I.1	PC	MATERIAL GERAL	274973.jpeg
274974	LUVA EMEN. TENSÃO COND. CA, DED-0109 I.2	PC	MATERIAL GERAL	274974.jpeg
274975	LUVA EMEN. TENSÃO COND. CA, DED-0109 I3	PC	MATERIAL GERAL	274975.jpeg
274976	LUVA REPARO COND.CA1/0 AWG, DED-0112 I.2	PC	MATERIAL GERAL	274976.jpeg
274977	LUVA REPARO COND.CA4/0AWG, DED-0112 I.3	PC	MATERIAL GERAL	274977.jpeg
274978	LUVA REPARO COND.CA336,4MCM DED-0112 I.4	PC	MATERIAL GERAL	274978.jpeg
274980	LUVA EMEN. TENSÃO COND. CA, DED-0109 I.4	PC	MATERIAL GERAL	274980.jpeg
274981	LUVA REPARO COND. CA 2 AWG, DED-0112 I.1	PC	MATERIAL GERAL	274981.jpeg
274982	LUVA EMEN. SEM TENSÃO, DED-0111 I.1	PC	MATERIAL GERAL	274982.jpeg
274984	LUVA EMEND.TENSÃOCAA 4AWGDED-1793I1R4	PC	MATERIAL GERAL	274984.jpeg
274985	CONECTOR TERM. P/ COND. CU,DDT-1761 I.2	PC	CONECTORES	274985.jpeg
274986	PROTETOR BUCHA 15KV RD COMPACTA,DED-1782	PC	MATERIAL GERAL	274986.jpeg
274987	CONEC.CUN.AZULD=8,23-12,70DED-1786 I2	PC	CONECTORES	274987.jpeg
274988	CONEC.CUN.AZULD=15,24-17,37DED-1786 I3	PC	CONECTORES	274988.jpeg
274989	CONEC,CUNHA DERIV.II/VERDE DED-1786 I7	PC	CONECTORES	274989.jpeg
274991	COBERTURA EMENDA  CB COBERTO RC DED 1901	PC	MATERIAL GERAL	274991.jpeg
274992	ESTRIBO RAMAL DE SERVIÇO DED-1707	PC	MATERIAL GERAL	274992.jpeg
274994	CONECTOR TERM. P/ COND. AL, DED-0105 I.1	PC	CONECTORES	274994.jpeg
274995	CONECTOR TERM. P/ COND. AL, DED-0105 I.4	PC	CONECTORES	274995.jpeg
274996	CONEC.CUN.DERIV.A/VIOLETA-DED-1786 I1	PC	CONECTORES	274996.jpeg
274997	CONEC.CUN.DERIV. B-LARANJA - DED-1786 I2	PC	CONECTORES	274997.jpeg
274998	CONEC.CUNHA DERIV. C-MARRON, DED-1786 I3	PC	CONECTORES	274998.jpeg
274999	CONEC.CUNHA DERIV. D-BRANCA, DED-1786 I4	PC	CONECTORES	274999.jpeg
275000	CONEC.CUNHA DERIV. I-CINZA DED-1786 I6	PC	CONECTORES	275000.jpeg
275002	CONEC.CUN.DERI.VI-BRAN/AZUL DED-1786 I9	PC	CONECTORES	275002.jpeg
275003	CONEC.CUN.DERIV.VII-BRN/VERM.DED1786 I10	PC	CONECTORES	275003.jpeg
275008	LUVA EMEN. COND. COBRE, DED-1833 I.6	PC	MATERIAL GERAL	275008.jpeg
