Código	Descrição	Unidade de Medida	Familia	Foto
240218	SUPORTE FIX CONCENTRADOR/TRANSF ACO CARB	UN	FERRAGEM	240218.jpeg
250034	GANCHO DE SUSPENSAO,ACO,PM-BR904.27	EA	FERRAGEM	250034.jpeg
250036	PRESILHA DE SUSPENSAO,AL,PM-BR904.28	EA	FERRAMENTAS	250036.jpeg
250041	PROTETOR,ESTR E GLV,36KV,PM-BR780.06	EA	MATERIAL GERAL	250041.jpeg
250042	SUPORTE,HORIZ,RD COMPACTA,34,5,D455.05	UN	FERRAGEM	250042.jpeg
250043	BRAÇO,SUP,36.2KV,AZ,TIPO C,SPACER,D45501	EA	FERRAGEM	250043.jpeg
250054	ALCA,DIST,AL,PREF,1/0AWG,CAA,D730.14	EA	MATERIAL GERAL	250054.jpeg
250061	SUPORTE GUIA PARA PONTO DE SUSPENSÃO	EA	FERRAMENTAS	250061.jpeg
250063	CINTA LIGA DE ELO DE TECIDO SINTÉTICO -	EA	FERRAMENTAS	250063.jpeg
250064	MASTRO PARA IÇAMENTO DE  CARGA COM SISTE	UN	FERRAMENTAS	250064.jpeg
250065	BASTAO TRACAO OLHAL/GANCHO,NTS 001-21HS	UN	FERRAMENTAS	250065.jpeg
250066	CRUZETA,AUXILIAR,64MM X 2,83M	UN	FERRAMENTAS	250066.jpeg
250073	CONJ HERRAJE RETENCIÓN CABLE AAAC 681	EA	FERRAMENTAS	250073.jpeg
250074	MAT-OMBR-NOM-22-1544-EDBR - MOITÃO TRIPL	EA	FERRAMENTAS	250074.jpeg
250075	SELA P/ POSTE COM EXTENSOR E COLAR 64MM	EA	FERRAGEM	250075.jpeg
250076	SELA P/ POSTE COM EXTENSOR E COLAR 38MM	EA	FERRAGEM	250076.jpeg
250078	ESTICADOR DE CABOSAlumínio CA com cober	EA	FERRAMENTAS	250078.jpeg
250079	ESTIBO PARA LINHA VIVA RCA400-0331 FER	UN	FERRAMENTAS	250079.jpeg
250080	PARAFUSO DE SELA RM4740 FERRO NODULAR,	UN	FERRAMENTAS	250080.jpeg
250081	CINTA PARA MÃO FRANCESA	EA	FERRAMENTAS	250081.jpeg
250083	PEGADOR DE BOBINA	EA	FERRAMENTAS	250083.jpeg
250085	BASTÃO MASTRO 64X3000MM	EA	FERRAMENTAS	250085.jpeg
250086	CABEÇOTE OLHAL PARA CONEXÃO DO BASTÃO MA	EA	FERRAMENTAS	250086.jpeg
250087	(FLV03457-13) SUPORTE DIM. 38MM X 2,03M	CDA	FERRAMENTAS	250087.jpeg
250102	GABARITO P/ PINTURA ALFABETO A - Z 60MM	EA	FERRAMENTAS	250102.jpeg
250103	GABARITO P/ PINTURA ALGARISMO 0 - 9 60MM	EA	FERRAMENTAS	250103.jpeg
251617	CONCHA-GARFO,12000DAN,PM-BR510.13	UN	FERRAGEM	251617.jpeg
251622	PRESILHA, CB AÇO ZINCADO 5/16"	PC	FERRAGEM	251622.jpeg
251629	GARFO-BOLA ACO ZINCADO F-1340 FORJASUL-S	PC	MATERIAL GERAL	251629.jpeg
251631	GARFO-GARFO AÇO FORJADO ZINC/QUENTE 1350	PC	MATERIAL GERAL	251631.jpeg
251646	CAVALOTE AÇO ZINCADO REF.F1240 FORJASUL-	PC	FERRAGEM	251646.jpeg
251651	ALCA,PREF.CUCB PRE-REUN.10-16MM-DED1959	PC	MATERIAL GERAL ESPECIAL	251651.jpeg
